,STNAME,CTYNAME,TOT_POP,TOT_MALE,TOT_FEMALE,WA_MALE,WA_FEMALE,BA_MALE,BA_FEMALE,IA_MALE,IA_FEMALE,AA_MALE,AA_FEMALE,NA_MALE,NA_FEMALE,TOM_MALE
57,North Carolina,Alamance County,152692,72642,80050,55756,60680,13464,15783,1055,1056,940,1073,49,52,1378
285,North Carolina,Alexander County,37026,18827,18199,17072,16953,1246,770,88,63,192,171,4,10,225
513,North Carolina,Alleghany County,11016,5449,5567,5235,5383,83,82,35,17,34,31,2,2,60
741,North Carolina,Anson County,26512,13829,12683,6633,6061,6746,6222,133,71,148,156,11,5,158
969,North Carolina,Ashe County,26986,13303,13683,12958,13367,114,88,38,34,49,66,10,2,134
1197,North Carolina,Avery County,17770,9675,8095,8855,7879,663,80,55,32,35,28,4,4,63
1425,North Carolina,Beaufort County,47675,22935,24740,16636,17462,5659,6664,224,195,93,122,13,14,310
1653,North Carolina,Bertie County,20858,10342,10516,3716,3738,6407,6566,67,37,49,58,13,5,90
1881,North Carolina,Bladen County,34880,16695,18185,10403,10773,5606,6638,441,456,36,43,5,3,204
2109,North Carolina,Brunswick County,110185,53767,56418,46032,48114,6065,6564,479,419,278,381,41,30,872
2337,North Carolina,Buncombe County,241172,116052,125120,104251,112557,7607,8045,626,583,1155,1494,186,168,2227
2565,North Carolina,Burke County,90542,45231,45311,38606,39994,3527,2566,418,296,1652,1565,336,254,692
2793,North Carolina,Cabarrus County,181175,88381,92794,70709,72809,13595,15432,567,558,1942,2190,57,73,1511
3021,North Carolina,Caldwell County,82451,40649,41802,37524,38664,2086,2060,229,234,232,258,32,26,546
3249,North Carolina,Camden County,10024,4981,5043,4138,4149,647,682,17,23,86,81,2,4,91
3477,North Carolina,Carteret County,67418,33299,34119,29960,30865,2154,2024,209,181,269,407,49,42,658
3705,North Carolina,Caswell County,23456,11936,11520,7613,7357,4065,3891,59,50,24,40,3,2,172
3933,North Carolina,Catawba County,154459,75659,78800,64697,67462,6507,6817,414,383,2822,2856,35,37,1184
4161,North Carolina,Chatham County,64109,30824,33285,25585,27257,4014,4659,424,390,321,470,32,24,448
4389,North Carolina,Cherokee County,27180,13155,14025,12359,13240,177,179,189,189,69,78,11,4,350
4617,North Carolina,Chowan County,14807,7040,7767,4552,4807,2300,2804,43,19,38,42,21,11,86
4845,North Carolina,Clay County,10686,5270,5416,5115,5270,45,50,23,14,6,20,1,1,80
5073,North Carolina,Cleveland County,97442,46964,50478,36354,38286,9416,10896,158,152,379,447,13,12,644
5301,North Carolina,Columbus County,57705,28516,29189,18087,18798,8949,8796,961,1031,94,111,24,14,401
5529,North Carolina,Craven County,104831,52405,52426,38488,37415,11210,12021,330,295,1027,1253,88,79,1262
5757,North Carolina,Cumberland County,330503,162689,167814,92019,87775,57304,64633,2762,2954,3171,4705,703,719,6730
5985,North Carolina,Currituck County,23906,11835,12071,10877,10964,661,723,65,45,46,121,5,8,181
6213,North Carolina,Dare County,34156,16954,17202,16049,16228,468,441,72,94,72,140,12,6,281
6441,North Carolina,Davidson County,162923,79810,83113,70071,72495,7067,7804,612,595,967,1142,30,19,1063
6669,North Carolina,Davie County,41335,20091,21244,18340,19216,1232,1400,120,125,110,178,3,3,286
6897,North Carolina,Duplin County,59216,29087,30129,20786,20783,7246,8317,395,395,146,153,131,115,383
7125,North Carolina,Durham County,276563,133086,143477,72283,74033,49840,58331,1497,1230,6333,6595,172,150,2961
7353,North Carolina,Edgecombe County,56050,25973,30077,10761,11777,14710,17766,164,152,58,89,23,20,257
7581,North Carolina,Forsyth County,354524,168155,186369,116043,124917,43838,52428,1476,1423,3325,3884,196,190,3277
7809,North Carolina,Franklin County,60946,30245,30701,21357,21225,7972,8529,286,265,132,184,22,25,476
8037,North Carolina,Gaston County,206886,100020,106866,81481,85960,15012,17255,589,528,1249,1402,46,51,1643
8265,North Carolina,Gates County,12043,5920,6123,3836,3867,1922,2093,30,34,11,10,7,5,114
8493,North Carolina,Graham County,8811,4344,4467,3952,4061,11,6,284,313,12,16,5,2,80
8721,North Carolina,Granville County,57503,29539,27964,19106,18242,9569,8928,248,184,155,169,29,20,432
8949,North Carolina,Greene County,21514,11579,9935,6767,5892,4359,3651,278,211,42,47,23,23,110
