county,testSites,totPop,totNHWA,totNHBA,totNHIA,totNHAA,totNHNA,totNHTOM,totHWA,totHBA,totHIA,totHAA,totHNA,totHTOM,totNH,totH,H_perc,NH_perc,totPop_class,site_perc,corr_testSites,H_to_sites,NH_to_sites
Forsyth,20,354524,207890,90814,937,6934,186,5271,33070,33070,1962,275,200,1533,312032,70110,0.19775812074781962,0.8801435163768885,200000+,0.05714285714285714,2.0,3505.5,15601.6
Guilford,23,494953,266735,161153,2122,20330,229,8757,28598,28598,1393,352,137,1319,459326,60397,0.12202572769535694,0.9280194281073152,200000+,0.06571428571428571,2.3,2625.9565217391305,19970.695652173912
Alamance,5,152692,102441,28392,564,1931,60,2203,13995,13995,1547,82,41,581,135591,30241,0.19805228826657587,0.8880033007623189,100000-200000,0.014285714285714285,0.5,6048.2,27118.2
Wake,49,928787,576108,189845,2642,52166,319,16969,73297,73297,5070,707,279,3487,838049,156137,0.16810851142404018,0.9023048341546555,200000+,0.14,4.9,3186.469387755102,17103.04081632653
Moore,5,89262,69328,11775,690,821,28,1265,4700,4700,115,45,115,172,83907,9847,0.11031569984988013,0.9400080661423674,60000-100000,0.014285714285714285,0.5,1969.4,16781.4
Richmond,3,46651,27287,14223,1080,481,15,811,2048,2048,289,23,44,101,43897,4553,0.09759705043836145,0.9409658956935543,45000-60000,0.008571428571428572,0.3,1517.6666666666667,14632.333333333334
Durham,12,276563,116401,104933,817,12526,153,4855,29915,29915,1910,402,169,1244,239685,63555,0.22980297436750396,0.8666560602828288,200000+,0.03428571428571429,1.2,5296.25,19973.75
Orange,5,134825,95432,15906,409,9505,52,2674,9341,9341,429,74,35,463,123978,19683,0.14598924531800483,0.9195475616539959,100000-200000,0.014285714285714285,0.5,3936.6,24795.6
Onslow,18,184993,127255,27170,1085,3298,434,5881,15877,15877,423,369,110,1184,165123,33840,0.18292584043720572,0.8925905304525036,100000-200000,0.05142857142857143,1.8,1880.0,9173.5
New Hanover,10,205966,158539,29769,815,2575,134,3290,8905,8905,450,118,76,493,195122,18947,0.09199091112125302,0.9473505335832128,200000+,0.02857142857142857,1.0,1894.7,19512.2
Cherokee,3,27180,25066,320,332,140,8,626,533,533,46,7,7,59,26492,1185,0.04359823399558499,0.9746872700515085,15000-30000,0.008571428571428572,0.3,395.0,8830.666666666666
Graham,2,8811,7851,17,545,28,2,143,162,162,52,0,5,6,8586,387,0.043922369765066395,0.9744637385086823,<15000,0.005714285714285714,0.2,193.5,4293.0
Randolph,8,141858,115326,7961,646,1404,27,1610,13153,13153,783,81,54,360,126974,27584,0.19444796909585643,0.8950781767683176,100000-200000,0.022857142857142857,0.8,3448.0,15871.75
Buncombe,16,241172,203536,15192,786,2542,280,4125,13272,13272,423,107,74,375,226461,27523,0.11412187152737466,0.9390020400378153,200000+,0.045714285714285714,1.6,1720.1875,14153.8125
Brunswick,9,110185,89418,12322,677,614,38,1652,4728,4728,221,45,33,130,104721,9885,0.08971275581975768,0.9504106729591142,100000-200000,0.025714285714285714,0.9,1098.3333333333333,11635.666666666666
Cabarrus,8,181175,129053,27678,560,3951,76,2780,14465,14465,565,181,54,463,164098,30193,0.166651028011591,0.9057430660963157,100000-200000,0.022857142857142857,0.8,3774.125,20512.25
