,STNAME,CTYNAME,TOT_POP,TOT_MALE,TOT_FEMALE,NHWA_MALE,NHWA_FEMALE,NHBA_MALE,NHBA_FEMALE,NHIA_MALE,NHIA_FEMALE,NHAA_MALE,NHAA_FEMALE,NHNA_MALE,NHNA_FEMALE,NHTOM_MALE,NHTOM_FEMALE,HWA_MALE,HWA_FEMALE,HBA_MALE,HBA_FEMALE,HIA_MALE,HIA_FEMALE,HAA_MALE,HAA_FEMALE,HNA_MALE,HNA_FEMALE,HTOM_MALE,HTOM_FEMALE,TOT_NHWA,TOT_NHBA,TOT_NHIA,TOT_NHAA,TOT_NHNA,TOT_NHTOM,TOT_HWA,TOT_HBA,TOT_HIA,TOT_HAA,TOT_HNA,TOT_HTOM
57,North Carolina,Alamance,152692,72642,80050,48605,53836,13041,15351,261,303,901,1030,32,28,1081,1122,7151,6844,423,432,794,753,39,43,17,24,297,284,102441,28392,564,1931,60,2203,13995,855,1547,82,41,581
285,North Carolina,Alexander,37026,18827,18199,16296,16243,1208,751,56,35,191,168,4,9,211,217,776,710,38,19,32,28,1,3,0,1,14,15,32539,1959,91,359,13,428,1486,57,60,4,1,29
513,North Carolina,Allegha,11016,5449,5567,4681,5048,66,69,10,8,30,25,2,1,43,43,554,335,17,13,25,9,4,6,0,1,17,9,9729,135,18,55,3,86,889,30,34,10,1,26
741,North Carolina,Ans,26512,13829,12683,6173,5889,6713,6194,107,47,139,151,2,2,140,144,460,172,33,28,26,24,9,5,9,3,18,24,12062,12907,154,290,4,284,632,61,50,14,12,42
969,North Carolina,Ashe,26986,13303,13683,12191,12972,81,74,24,26,47,66,4,1,113,117,767,395,33,14,14,8,2,0,6,1,21,9,25163,155,50,113,5,230,1162,47,22,2,7,30
1197,North Carolina,Aver,17770,9675,8095,8358,7613,658,79,35,27,33,25,2,3,56,68,497,266,5,1,20,5,2,3,2,1,7,4,15971,737,62,58,5,124,763,6,25,5,3,11
1425,North Carolina,Beaufor,47675,22935,24740,15291,16295,5518,6527,67,56,74,110,1,1,257,228,1345,1167,141,137,157,139,19,12,12,13,53,55,31586,12045,123,184,2,485,2512,278,296,31,25,108
1653,North Carolina,Bertie,20858,10342,10516,3612,3667,6366,6540,63,27,44,54,0,0,75,102,104,71,41,26,4,10,5,4,13,5,15,10,7279,12906,90,98,0,177,175,67,14,9,18,25
1881,North Carolina,Blade,34880,16695,18185,9275,9861,5505,6548,327,372,30,40,4,2,183,234,1128,912,101,90,114,84,6,3,1,1,21,38,19136,12053,699,70,6,417,2040,191,198,9,2,59
2109,North Carolina,Brunswick,110185,53767,56418,43368,46050,5888,6434,344,333,254,360,24,14,800,852,2664,2064,177,130,135,86,24,21,17,16,72,58,89418,12322,677,614,38,1652,4728,307,221,45,33,130
2337,North Carolina,Buncombe,241172,116052,125120,97188,106348,7378,7814,395,391,1101,1441,150,130,2026,2099,7063,6209,229,231,231,192,54,53,36,38,201,174,203536,15192,786,2542,280,4125,13272,460,423,107,74,375
2565,North Carolina,Burke,90542,45231,45311,36580,38359,3434,2504,121,96,1588,1532,95,67,630,582,2026,1635,93,62,297,200,64,33,241,187,62,54,74939,5938,217,3120,162,1212,3661,155,497,97,428,116
2793,North Carolina,Cabarrus,181175,88381,92794,63262,65791,12925,14753,291,269,1853,2098,34,42,1291,1489,7447,7018,670,679,276,289,89,92,23,31,220,243,129053,27678,560,3951,76,2780,14465,1349,565,181,54,463
3021,North Carolina,Caldwell,82451,40649,41802,35762,37188,2000,1979,71,93,215,246,5,13,483,506,1762,1476,86,81,158,141,17,12,27,13,63,54,72950,3979,164,461,18,989,3238,167,299,29,40,117
3249,North Carolina,Camde,10024,4981,5043,4048,4058,628,664,13,18,81,79,1,3,85,98,90,91,19,18,4,5,5,2,1,1,6,6,8106,1292,31,160,4,183,181,37,9,7,2,12
3477,North Carolina,Cartere,67418,33299,34119,28804,29950,2077,1975,145,155,257,393,32,34,580,561,1156,915,77,49,64,26,12,14,17,8,78,39,58754,4052,300,650,66,1141,2071,126,90,26,25,117
3705,North Carolina,Caswell,23456,11936,11520,7231,7105,4033,3865,39,32,24,40,3,1,165,174,382,252,32,26,20,18,0,0,0,1,7,6,14336,7898,71,64,4,339,634,58,38,0,1,13
3933,North Carolina,Catawba,154459,75659,78800,58566,62026,6284,6595,178,171,2766,2804,19,17,1052,1115,6131,5436,223,222,236,212,56,52,16,20,132,130,120592,12879,349,5570,36,2167,11567,445,448,108,36,262
4161,North Carolina,Chatham,64109,30824,33285,21956,23904,3839,4485,88,94,296,447,11,8,378,426,3629,3353,175,174,336,296,25,23,21,16,70,59,45860,8324,182,743,19,804,6982,349,632,48,37,129
4389,North Carolina,Cherokee,27180,13155,14025,12081,12985,161,159,167,165,68,72,6,2,321,305,278,255,16,20,22,24,1,6,5,2,29,30,25066,320,332,140,8,626,533,36,46,7,7,59
4617,North Carolina,Chowa,14807,7040,7767,4343,4649,2279,2787,30,16,38,42,1,1,78,74,209,158,21,17,13,3,0,0,20,10,8,10,8992,5066,46,80,2,152,367,38,16,0,30,18
4845,North Carolina,Cla,10686,5270,5416,4970,5164,41,41,22,14,6,19,1,1,73,61,145,106,4,9,1,0,0,1,0,0,7,0,10134,82,36,25,2,134,251,13,1,1,0,7
5073,North Carolina,Cleveland,97442,46964,50478,35072,37184,9331,10827,94,94,351,417,9,12,583,628,1282,1102,85,69,64,58,28,30,4,0,61,57,72256,20158,188,768,21,1211,2384,154,122,58,4,118
5301,North Carolina,Columbus,57705,28516,29189,16958,17898,8791,8662,861,948,71,90,17,9,340,391,1129,900,158,134,100,83,23,21,7,5,61,48,34856,17453,1809,161,26,731,2029,292,183,44,12,109
5529,North Carolina,Crave,104831,52405,52426,35368,34966,10884,11737,245,216,982,1214,61,56,1094,1219,3120,2449,326,284,85,79,45,39,27,23,168,144,70334,22621,461,2196,117,2313,5569,610,164,84,50,312
5757,North Carolina,Cumberland,330503,162689,167814,79558,76409,54659,61685,2263,2500,2956,4507,581,554,5533,5710,12461,11366,2645,2948,499,454,215,198,122,165,1197,1318,155967,116344,4763,7463,1135,11243,23827,5593,953,413,287,2515
5985,North Carolina,Currituck,23906,11835,12071,10565,10642,638,698,62,43,41,112,2,7,160,185,312,322,23,25,3,2,5,9,3,1,21,25,21207,1336,105,153,9,345,634,48,5,14,4,46
6213,North Carolina,Dare,34156,16954,17202,14924,15298,416,415,46,58,71,138,11,4,251,264,1125,930,52,26,26,36,1,2,1,2,30,29,30222,831,104,209,15,515,2055,78,62,3,3,59
6441,North Carolina,Davids,162923,79810,83113,65328,68270,6866,7596,316,334,884,1094,14,12,926,928,4743,4225,201,208,296,261,83,48,16,7,137,130,133598,14462,650,1978,26,1854,8968,409,557,131,23,267
6669,North Carolina,Davie,41335,20091,21244,17124,18154,1182,1358,42,65,98,156,3,3,257,293,1216,1062,50,42,78,60,12,22,0,0,29,29,35278,2540,107,254,6,550,2278,92,138,34,0,58
6897,North Carolina,Dupli,59216,29087,30129,15130,16020,6889,8041,84,102,72,103,16,12,246,247,5656,4763,357,276,311,293,74,50,115,103,137,119,31150,14930,186,175,28,493,10419,633,604,124,218,256
7125,North Carolina,Durham,276563,133086,143477,55841,60560,48166,56767,402,415,6125,6401,73,80,2321,2534,16442,13473,1674,1564,1095,815,208,194,99,70,640,604,116401,104933,817,12526,153,4855,29915,3238,1910,402,169,1244
