,name,fulladdr,municipality,agency,agencytype,phone,agencyurl,operhours,Instructions,status,drive_through,appt_only,referral_required,services_offered_onsite,call_first,virtual_screening,health_dept_url,State,county,type_of_test,facility_type
200,Novant Health Screening Center,"111 Gateway Center Drive, Kernersville, NC 27284",Forsyth County,Novant Health,Non Profit,1-877-499-1697,https://www.novanthealth.org/healthy-headlines/march-6-update-what-you-need-to-know-about-coronavirus-disease-covid-19,8am - 5pm M-F,"People who have no symptoms will not be tested. Visiting a screening center unnecessarily will only further one’s risk of exposure and put a strain on resources for those who need it most.
The helpline is designed for patients without a primary care physician who are experiencing symptoms and have questions about how best to seek care. All community members are encouraged to call their health care provider, first, before driving to clinics to help curb the spread of possible infection.",Open,No,Yes,Yes,screening and testing,Yes,Available,https://www.ncdhhs.gov/,NC,Forsyth,molecular,Clinic
206,Novant Health Screening Center,"600 Highland Oaks Drive, Winston-Salem, NC 27103",Forsyth County,Novant Health,Non Profit,1-877-499-1697,https://www.novanthealth.org/healthy-headlines/march-6-update-what-you-need-to-know-about-coronavirus-disease-covid-19,8am - 5pm M-F,"People who have no symptoms will not be tested. Visiting a screening center unnecessarily will only further one’s risk of exposure and put a strain on resources for those who need it most.
The helpline is designed for patients without a primary care physician who are experiencing symptoms and have questions about how best to seek care. All community members are encouraged to call their health care provider, first, before driving to clinics to help curb the spread of possible infection.",Open,No,Yes,Yes,screening and testing,Yes,,https://www.ncdhhs.gov/,NC,Forsyth,molecular,Clinic
218,Temporary Respiratory Symptom Clinic,"1814 Westchester Dr., Suite 202, High Point",Guilford County,Wake Forest Baptist Health,Non Profit,336-702-6843,https://www.wakehealth.edu/Coronavirus/Updates-from-Wake-Forest-Baptist,"8am - 5pm M-F by appointment only, 1pm - 5pm Sat - Sun by appointment only","While patients can be assessed at these locations, they are not COVID-19 testing sites. At this time, Wake Forest Baptist Health is following state and national guidelines and only testing patients ill enough to require admission to the hospital.",Open,No,Yes,Yes,,Yes,,https://www.ncdhhs.gov/,NC,Guilford,molecular,Clinic
309,NextCare Urgent Care: Burlington,"1713 South Church Street, Burlington, NC 27215",Burlington ,"NextCare Holdings, Inc",Private,336-222-8888,https://nextcare.com/curbside/,Monday: 8:00AM - 8:00PM     Tuesday: 8:00AM - 8:00PM     Wednesday: 8:00AM - 8:00PM     Thursday: 8:00AM - 8:00PM     Friday: 8:00AM - 8:00PM,Only individuals meeting certain symptom criteria will be tested for COVID-19.  Individuals are encouraged to call for more information regarding testing and accepted insurance providers.,Open,No,Yes,No,screening and testing,Yes,Available,https://www.ncdhhs.gov/,NC,Alamance,molecular and antibody,Urgent Care
392,Thomasville Screening Center,"903 Randolph St, Thomasville, NC 27360",Thomasville,Novant Health,Regional,877-966-8268,https://coronavirus.novanthealth.org/,"Monday to Friday, 8 a.m. to 5 p.m","Novant Health GoHealth Urgent Care locations are also open for screenings with online check-in, including on weekends.
Patients with a fever and cough plus moderate to severe symptoms, which include shortness of breath, difficulty breathing, chest discomfort, altered thinking or cyanosis, meet guidelines for testing. Patients considered high risk will be tested.",Open,No,Yes,Yes,screening and testing,Yes,Available,https://www.co.davidson.nc.us/200/Health,NC,Davidson,molecular,Non-medical Facility
539,UNC REX Hospital,"2801 Blue Ridge Rd, Raleigh, NC 27607",Raleigh,UNC Hospitals,Regional,1-888-850-2684,https://www.unchealthcare.org/coronavirus/physician-resources/,,"UNC drive-thru clinic: UNC Health can only test UNC patients who have a doctor’s prescription. People will be screened for flu, and if they test negative, they will be tested for COVID-19. Drive-thru locations are available at the health system’s 13 campuses and some satellite clinics. For more information, contact UNC’s COVID-19 helpline, 888-850-2684.",Open,Yes,Yes,Yes,screening and testing,Yes,Available,http://www.wakegov.com/humanservices/publichealth/Pages/default.aspx,NC,Wake,molecular,Hospital
541,UNC Hospitals at WakeBrook,"111 Sunnybrook Rd, Raleigh, NC 27610",Raleigh,UNC Hospitals,Regional,1-888-850-2684,https://www.unchealthcare.org/coronavirus/what-unc-health-patients-need-to-know/,,"UNC drive-thru clinic: UNC Health can only test UNC patients who have a doctor’s prescription. People will be screened for flu, and if they test negative, they will be tested for COVID-19. Drive-thru locations are available at the health system’s 13 campuses and some satellite clinics. For more information, contact UNC’s COVID-19 helpline, 888-850-2684.",Open,Yes,Yes,Yes,screening and testing,Yes,Available,http://www.wakegov.com/humanservices/publichealth/Pages/default.aspx,NC,Wake,molecular,Hospital
662,FirstHealth Moore Regional Hospital,"155 Memorial Drive, P.O. Box 3000, Pinehurst, NC 28374",Pinehurst,FirstHealth of the Carolinas,Regional,(855) 619-2643,https://www.firsthealth.org/lifestyle/news-events/2020/3/coronavirus-resources,,"If you need in-person care for severe symptoms, call before visiting your Primary Care provider, a Convenient Care clinic or a FirstHealth emergency department. This will assist health care providers to take steps to get you the appropriate care you need while keeping others safe.",Open,Yes,Yes,Yes,screening and testing,Yes,Available,https://www.moorecountync.gov/health,NC,Moore,molecular,Hospital
666,[Former] Sandhills Regional Medical Center,"1000 W Hamlet Ave Hamlet, NC 28345",Hamlet,Richmond County Health Department,County,919-417-4947,https://www.facebook.com/RCHealthDept/photos/a.430662493737676/1922906221179955/?type=3&theater,"9 AM to 1 PM, Tuesdays and Thursdays","Outpatient Testing  Center  The former Sandhills Regional Hospital located on Highway 74 in Hamlet is open from 9 AM-1 PM, Monday thru Friday for drive thru COVID-19 testing. Each person will be screened for symptoms (fever, cough, shortness of breath) and will be tested for the flu to determine if the COVID-19 test should be collected for testing. Individuals should be referred by their  primary healthcare  provider Health Department or by calling  the COVID-19 hotline at 910-417-4947.  Collect",Open,Yes,Yes,Yes,screening and testing,Yes,,https://www.richmondnc.com/202/Division-of-Public-Health,NC,Richmond,molecular,Medical Center
690,Duke University Hospital,"2301 Erwin Rd, Durham, NC 27710",Durham,Duke University,Private,919-385-0429,https://www.dukehealth.org/covid-19-update,"(8:00 am to 8:00 pm, seven days a week)","How Drive-Up COVID-19 Testing Works
In general, drive-up testing allows for people who have been screened during a virtual appointment to come to a designated location for a COVID-19 test. The recommendation is based on the health care provider’s assessment of their symptoms and exposure. The test only takes a few minutes. To increase safety, patients remain in their vehicles while the test is performed by a health care provider in protective clothing, goggles, masks, and gloves.",Open,Yes,Yes,Yes,screening and testing,Yes,Available,https://www.dcopublichealth.org/,NC,Durham,molecular,Hospital
692,UNC Hospitals,"101 Manning Dr, Chapel Hill, NC, 27514, USA",Chapel Hill,UNC Hospitals,Regional,1-888-850-2684,https://www.unchealthcare.org/coronavirus/physician-resources/,,"UNC drive-thru clinic: UNC Health can only test UNC patients who have a doctor’s prescription. People will be screened for flu, and if they test negative, they will be tested for COVID-19. Drive-thru locations are available at the health system’s 13 campuses and some satellite clinics. For more information, contact UNC’s COVID-19 helpline, 888-850-2684.",Open,Yes,Yes,Yes,screening and testing,Yes,Available,https://www.orangecountync.gov/204/Health-Department,NC,Orange,molecular,Hospital
693,UNC Hospitals Hillsborough Campus,"430 Waterstone Dr, Hillsborough, NC, 27278, USA",Hillsborough,UNC Hospitals,Regional,1-888-850-2684,https://www.unchealthcare.org/coronavirus/physician-resources/,,"UNC drive-thru clinic: UNC Health can only test UNC patients who have a doctor’s prescription. People will be screened for flu, and if they test negative, they will be tested for COVID-19. Drive-thru locations are available at the health system’s 13 campuses and some satellite clinics. For more information, contact UNC’s COVID-19 helpline, 888-850-2684.",Open,Yes,Yes,Yes,screening and testing,Yes,Available,https://www.orangecountync.gov/204/Health-Department,NC,Orange,molecular,Hospital
1047,Onslow Memorial Hospital,"317 Western Blvd, Jacksonville, NC 28546",Onslow,,,1-888-850-2684,https://www.onslow.org/coronavirus,24 hrs,"UNC Health has created a central COVID-19 Helpline at 1-888-850-2684 to answer calls from patients who suspect they may have COVID-19 and direct them to the appropriate resources.

Patients should contact the Helpline BEFORE VISITING a clinic, an urgent care location or a hospital emergency room if:

They are experiencing flu-like symptoms including fever, cough or shortness of breath,",Open,No,Yes,No,screening and testing,Yes,Available,https://www.onslow.org/coronavirus,NC,Onslow,molecular,Hospital
1048,Navy Medicine Camp Lejeune Hospital,"100 Brewster Blvd, Camp Lejeune, NC 28547",Camp Lejeune,US Navy,Federal,910-450-4300,https://www.med.navy.mil/sites/nhcl/Pages/default.aspx,,"You can get tested at a local military treatment facility if it has the ability to test for COVID-19. If it doesn’t, the MTF will send the sample to an outside laboratory. Stay informed: www.tricare.mil/coronavirus",Open,No,Yes,No,screening and testing,Yes,Required,https://www.med.navy.mil/sites/nhcl/Pages/default.aspx,NC,Onslow,molecular,Hospital
1236,Medac Urgent Care (Monkey Junction),"5245 S College Rd, Wilmington, NC 28412",New Hanover,Medac Urgent Care,,(910) 392-7806,https://www.medachealth.com/,Monday-Friday 8am-8pm,,Open,Yes,Yes,No,screening and testing,Yes,No,https://www.medachealth.com/,NC,New Hanover,molecular and antibody,Urgent Care
1403,Wilson County Health Department,"1801 Glendale Dr SW, Wilson, NC 27893",Wilson,Wilson County Gov,County,(252) 237-3141,https://www.wilson-co.com/departments/health-department,8am-5pm,"*Please call before showing up at the Health Department*

Only those who meet the following criteria should ask their doctor or local health department about being testing for COVID-19 through the NCSLPH: 

1.Have fever or lower respiratory symptoms (cough, shortness of breath) and close contact with a confirmed COVID-19 case within the past 14 days; OR
2. Have fever and lower respiratory symptoms (cough, shortness of breath) and a negative rapid flu test",Open,No,Yes,,screening and testing,Yes,,https://www.wilson-co.com/departments/health-department,NC,Wilson,molecular,Public Health Department
1538,Craven County Health Department,"2818 Neuse Blvd, New Bern, NC 28562",New Bern,County Health Dept.,County,(252) 636-4920,https://www.cravencountync.gov/153/Health,9:00 am to 12:00 pm,,Open,Yes,Yes,Yes,screening and testing,,,http://www.cravencountync.gov/,NC,Craven,molecular,Public Health Department
1551,PEACHTREE COMMUNITY HEALTH CENTER,"4048 E US 64 Alternate, Suite 1, Murphy, NC 28906",Murphy,,,828-837-8131,https://www.amchc.org,Monday - Friday | 7:30 am - 5:30 pm,Call ahead before you go to AMCHC or the emergency room. Tell them about your recent travel and your symptoms.,Open,No,Yes,No,screening and testing,Yes,Available,https://www.ncdhhs.gov/,NC,Cherokee,molecular,Clinic
1552,TALLULAH COMMUNITY HEALTH CENTER,"409 Tallulah Rd., Robbinsville, NC 28771",Robbinsville,APPALACHIAN MOUNTAIN COMMUNITY HEALTH CENTERS,Private,828-479-6434,https://www.amchc.org,Monday-Friday | 7 am - 6 pm,Call Ahead,Open,No,Yes,No,screening and testing,Yes,Available,https://www.ncdhhs.gov/,NC,Graham,molecular,Clinic
1553,Family Medicine-Sunset Avenue,"375 Sunset Ave. Asheboro, NC 27203",Asheboro,Wake Forest Baptist Health,Regional,336-702-5427,https://www.wakehealth.edu/Locations/Clinics/f/Family-Medicine-Sunset-Avenue?utm_source=local&utm_campaign=google%20my%20business&utm_medium=organic,"M-F 8am-5pm, closed for lunch 12p-1p","Currently has a temporary respiratory symptom clinic, but MUST be a Wake Health patient.",Open,No,Yes,Yes,testing only,Yes,,http://www.randolphcountync.gov/Departments/Public-Health,NC,Randolph,molecular,Clinic
1554,White Oak Family Physicians,"550 White Oak St. Asheboro, NC 27203",Asheboro,White Oak Family Physicians,Private,336-625-1360,https://www.wofp.com/,M-F 8:10am-5:00pm,"Patients are required to call ahead and describe symptoms in order to determine if they are to be tested. Currently, the state’s guidelines restrict people with mild symptoms from being tested, therefore those who are mild are urged to stay home. Further instructions will be given after calling.",Open,No,Yes,Yes,testing only,Yes,,http://www.randolphcountync.gov/Departments/Public-Health,NC,Randolph,molecular,Clinic
1555,"Horizon Internal Medicine of Asheboro, NC","138 Dublin Square Rd. Asheboro, NC",Asheboro,Horizon Internal Medicine,Private,336-610-1300,https://horizoninternalmedicine.com/covid-19-coronavirus-update/,M-F 8am-5pm,"Patients are required to call ahead and describe symptoms in order to determine if they are to be tested. Currently, the state’s guidelines restrict people with mild symptoms from being tested, therefore those who are mild are urged to stay home. Further instructions will be given after calling.",Open,No,Yes,Yes,testing only,Yes,Required,http://www.randolphcountync.gov/Departments/Public-Health,NC,Randolph,molecular,Clinic
