X,Y,OBJECTID,GlobalID,EditDate,county,address,city,zipcode,startdate,hoursofoperation,notes,operator,POC,Email_Address,sitename,website,daysofoperation,publicphone,publicnotes,SiteUtilization,TurnAroundTime
-13560167.8668,4825089.8694,3,{0A3C99F8-4E79-41EE-A307-94D2B22CA10F},2020/07/10 16:24:01,Butte,2357 Fair St,Chico,95928,2020/05/04 06:59:59,0700-1900,,OPTUMServe,Kaylene Robbins,,OPTUMServe 1,https://lhi.care/covidtesting,"Mon, Tues, Wed, Thurs, Fri",(888) 634-1123,,92,164
-13355138.8193,4711181.66,7,{FD62BAF9-D122-43E2-8208-5512D7EE0A11},2020/07/10 16:24:01,El Dorado,1 College Drive,South Lake Tahoe,96150,2020/05/05 06:59:59,0700-1900,,OPTUMServe,Todd Crawford,,OPTUMServe 1,https://lhi.care/covidtesting,"Tues, Wed, Thurs, Fri, Sat",(888) 634-1123,,104,153
-13817747.5267,4980025.8723,11,{A2C39F85-732B-4FF8-AE21-7414CF4DFF97},2020/07/10 16:24:02,Humboldt,3750 Harris St,Eureka,95503,2020/04/27 06:59:59,0700-1900,Site is Mobile on 6/29 & 6/30,OPTUMServe,Natalie Chapman,,OPTUMServe 1,https://lhi.care/covidtesting,"Mon, Tues, Wed, Thurs, Fri",(888) 634-1123,,69,174
-13321455.7516,4346302.2322,15,{E60D0AF1-4305-4E47-A814-101241C921EC},2020/07/10 16:24:04,Kings,1520 Kings County Dr.,Hanford,93230,2020/05/04 06:59:59,0700-1900,,OPTUMServe,Everardo Legaspi,,OPTUMServe 1,https://lhi.care/covidtesting,"Mon, Tues, Wed, Thurs, Fri",(888) 634-1123,,87,89
-13617070.291,4957865.588,62,{151D4F28-4774-4C90-A6C9-ACD82921A5D3},2020/07/10 16:24:04,Shasta,11555 Old Oregon Trail,Redding,96003,2020/04/30 06:59:59,0700-1900,,OPTUMServe,Cory Brown,,OPTUMServe 1,https://lhi.care/covidtesting,"Mon, Tues, Wed, Thurs, Fri",(888) 634-1123,,93,163
-13291001.2534,4375825.9198,72,{305819E9-2EB6-4CB9-B704-0A940690320D},2020/07/10 16:24:04,Tulare,249 S. Alta Ave,Dinuba,93618,2020/05/04 06:59:59,0700-1900,,OPTUMServe,Jerry Carter,,OPTUMServe 1,https://lhi.care/covidtesting,"Mon, Tues, Wed, Thurs, Fri",(888) 634-1123,,87,86
-13564676.253,4481549.7009,78,{D1B8B719-FE3F-4045-BAAE-86BFEB6633AF},2020/07/10 16:24:05,Santa Clara,344 Tully Rd,San Jose,95111,2020/03/16 05:00:00,9AM - 3PM,"Volunteers & deliveries enter at 2542 Monterey Rd, San Jose, CA [Gate D]",Verily,Walter Lin,walter.lin@sanjoseca.gov,Santa Clara County Fairgrounds,https://www.projectbaseline.com/study/covid-19/,Mon-Fri,,,,
-13517458.9612,4663824.5098,81,{103B9923-43B3-4393-A715-47FB01B6B647},2020/07/10 16:24:06,Sacramento,1600 Exposition Blvd,Sacramento,95815,2020/03/24 14:00:00,8:30AM - 1:45PM,Staff Entrance: Gate 12 (Ethan Way & Hurley Way),Verily,Nick Mori,MoriD@SacCounty.net,"Sacramento, CA",https://www.projectbaseline.com/study/covid-19/,Mon-Fri,,,,
-13501285.2651,4563434.0338,83,{70CA5A04-3E71-478A-9815-7F4A969B5123},2020/07/10 16:24:06,San Joaquin,500 W Hospital Rd,French Camp,95231,2020/04/08 14:00:00,9AM - 5PM,,Verily,Max Vargas,Max.Vargas@stocktonca.gov,"Stockton, CA",https://www.projectbaseline.com/study/covid-19/,Mon-Sat,,,,
-13612011.1323,4621754.2474,84,{5B446F87-99D5-4C39-BAB8-EBEAD516E11B},2020/07/10 16:24:06,Napa,575 3rd St,Napa,94559,2020/04/24 14:00:00,10AM - 4PM,,Verily,Molly Rattigan,molly.rattigan@countyofnapa.org,"Napa, CA",https://www.projectbaseline.com/study/covid-19/,Mon-Sat,,,,
-13478282.2107,4538338.1328,85,{4C69ABD3-3E6C-4061-ABC8-0D2FC3488BEA},2020/07/10 16:24:06,Stanislaus,4835 Sisk Rd,Salida,95368,2020/04/20 14:00:00,9AM - 4PM,,Verily,Rayna Gomez,rgomez@schsa.org,"Salida, CA",https://www.projectbaseline.com/study/covid-19/,Mon-Fri,,,,
-13347429.6408,4505196.0192,86,{F1272408-75A9-4BA3-8397-D8CCD45F88D9},2020/07/10 16:24:07,Mariposa,5171 Silva Rd,Mariposa,95338,2020/04/30 06:59:59,0700-1900,,OPTUMServe,Claudia Radonic,,OPTUMServe 1,https://lhi.care/covidtesting,"Tues, Wed, Thurs, Fri, Sat",(888) 634-1123,,93,94
-13476512.744,4752416.4785,89,{4FF1EC79-BBAB-493B-B06D-2089B1C2E1CC},2020/07/10 16:24:07,Nevada,255 South Auburn Street,Grass Valley,95945,2020/05/05 06:59:59,0700-1900,Paul Cummings' Business Number: (530) 265-7015,OPTUMServe,"Paul Cummings, Nevada County Office of Emergency Services Program Manager",,OPTUMServe 1,https://lhi.care/covidtesting,"Tues, Wed, Thurs, Fri, Sat",(888) 634-1123,,105,170
-13158619.7062,4011465.3133,94,{BB00BBC6-4E4C-4E41-AC91-58BF024C1CEA},2020/07/10 16:24:08,Los Angeles,171 W. Bort St,Long Beach,90805,2020/04/30 06:59:59,0700-1900,,OPTUMServe,Sandy Wedgeworth,,OPTUMServe 1,https://lhi.care/covidtesting,"Mon, Tues, Wed, Thurs, Fri",(888) 634-1123,,97,107
-13407603.2802,4155792.4294,97,{5678A809-FFD9-4C3E-ADDE-C9F542FD1394},2020/07/10 16:24:09,Santa Barbara,937 S. Thornburg St,Santa Maria,93458,2020/05/05 06:59:59,0700-1900,,OPTUMServe,Nick Clay,,OPTUMServe 1,https://lhi.care/covidtesting,"Wed, Thurs, Fri, Sat, Sun",(888) 634-1123,,90,96
-13540652.1961,4742433.8943,98,{12900E1E-8E6B-419E-8A92-94A1D6421BE5},2020/07/10 16:24:09,Sutter,1425 Veterans Memorial Circle,Yuba City,95993,2020/05/04 06:59:59,0700-1900,,OPTUMServe,Ken Irwin,,OPTUMServe 1,https://lhi.care/covidtesting,"Mon, Tues, Wed, Thurs, Fri",(888) 634-1123,,86,167
-13253647.5895,4309732.2894,99,{8875D069-BAB6-43C5-A7CD-B221702EA477},2020/07/10 16:24:10,Tulare,1900 W Olive Ave,Porterville,93257,2020/05/04 06:59:59,0700-1900,test,OPTUMServe,Sandy Knott,,OPTUMServe 2,https://lhi.care/covidtesting,"Mon, Tues, Wed, Thurs, Fri",(888) 634-1123,,97,68
-13268073.3708,4054843.3517,100,{6E3A82AA-8B51-4C9C-A762-F1EF5C7964E8},2020/07/10 16:24:10,Ventura,800 Hobson Way,Oxnard,93030,2020/05/04 06:59:59,0800-2000,,OPTUMServe,Patrick Maynard,,OPTUMServe 1,https://lhi.care/covidtesting,"Mon, Tues, Wed, Thurs, Fri",(888) 634-1123,,33,83
-13150445.416,4052101.4501,104,{716623E4-AC99-4616-9CF4-910E04B05182},2020/07/10 16:24:11,Los Angeles,1595 North Lake Ave,Pasadena,91104,2020/05/04 06:59:59,0700-1900,,OPTUMServe,Sergio Bautista,,OPTUMServe 2,https://lhi.care/covidtesting,"Mon, Tues, Wed, Thurs, Fri",(888) 634-1123,,81,72
-13636792.6592,4573300.3448,105,{B9A7EFA8-FC5C-49AF-97CD-08658A5DEC68},2020/07/10 16:24:11,Marin,1177 Francisco Blvd E,San Rafael,94901,2020/05/04 06:59:59,0700-1900,,OPTUMServe,Woody Baker-Cohn,cohn@marinsheriff.org,OPTUMServe 1,https://lhi.care/covidtesting,"Tues, Wed, Thurs, Fri, Sat",(888) 634-1123,,101,170
-13500328.4281,4598764.1186,106,{C6435467-8FDA-419E-AA73-C265F037A594},2020/07/10 16:24:11,San Joaquin,201 W. Locust St,Lodi,95240,2020/05/04 06:59:59,0700-1900,,OPTUMServe,Astrida Trupovenieks,,OPTUMServe 1,https://lhi.care/covidtesting,"Mon, Tues, Wed, Thurs, Fri",(888) 634-1123,,83,160
-13427349.1594,4180553.1086,108,{F344E352-B9C1-46DF-802A-FE99DEF05603},2020/07/10 16:24:13,San Luis Obispo,933 Ramona Ave,Grover Beach,93433,2020/05/04 06:59:59,0700-1900,,OPTUMServe,Anita Konopa,,OPTUMServe 2,https://lhi.care/covidtesting,"Mon, Tues, Wed, Thurs, Fri",(888) 634-1123,,95,88
